Title,Authors,Publisher/Conference,Year,Link
"AI-First Reliability Engineering: Redefining SRE with Autonomous AI Agents","S. Raj","IJCESEN (International Journal of Computational Engineering Systems and Engineering Networks)",2025,"https://scholar.google.com/scholar?q=AI-First+Reliability+Engineering+Redefining+SRE+with+Autonomous+AI+Agents"
"A Survey of AIOps in the Era of Large Language Models","L. Zhang; T. Jia","ACM Computing Surveys",2025,"https://dl.acm.org/"
"Simulated Production Incident Management with CrewAI and DeepSeek-R1","A. Team","Atlantis Press",2025,"https://www.atlantis-press.com/"
"Loghub: A Large Collection of System Log Datasets for AI-driven Log Analytics","J. Zhu et al.","IEEE ISSRE",2023,"https://github.com/logpai/loghub"
"LogRule: Efficient Structured Log Mining for Root Cause Analysis","P. Notaro; S. Haeri; M. Gerndt","IEEE Transactions on Network and Service Management",2023,"https://ieeexplore.ieee.org/"
"MetaRCA: A Generalizable Root Cause Analysis Framework for Cloud-Native Systems Powered by Meta Causal Knowledge","S. Liang et al.","ACM FSE",2026,"https://dl.acm.org/"
"AetherLog: Log-based Root Cause Analysis by Integrating Large Language Models with Knowledge Graphs","B. Tian et al.","IEEE ISSRE",2025,"https://ieeexplore.ieee.org/"
"Diagnosing Failure Root Causes in Platform-Orchestrated Agentic Systems","J. Ma et al.","arXiv",2025,"https://arxiv.org/abs/2509.23735"
"Where LLM Agents Fail and How They can Learn From Failures","K. Zhu et al.","arXiv",2025,"https://arxiv.org/abs/2509.25370"
"GPT-4o-based Code Review System for Scalable Programming Education","J. Carlos et al.","IEEE",2025,"https://ieeexplore.ieee.org/"
"LogPPT: Prompt-based Few-shot Learning for Log Parsing","X. Le; H. Zhang","IEEE/ACM ICSE",2023,"https://dl.acm.org/"
"LILAC: Log Parsing using LLMs with Adaptive Parsing Cache","Z. Jiang et al.","ACM FSE",2024,"https://dl.acm.org/"
"COCA: Generative Root Cause Analysis for Distributed Systems with Code Knowledge","Y. Li et al.","IEEE/ACM ICSE",2025,"https://dl.acm.org/"
"COMET: Incident Triage based on Large Language Models","Z. Zexin et al.","IEEE ISSRE",2024,"https://ieeexplore.ieee.org/"
"StepFly: A Novel LLM-powered Agent Framework for Automated TSG Execution","C. Yuxuan et al.","arXiv",2025,"https://arxiv.org/abs/2510.10074"
"AMER-RCL: Agentic Memory Enhanced Recursive Reasoning for Root Cause Localization","Y. Li et al.","ResearchGate",2024,"https://www.researchgate.net/"
"AgenTracer: Automated Failure Attribution in Multi-agent Systems","T. Ahmed et al.","EmergentMind",2025,"https://www.emergentmind.com/"
"The Transition to Autonomous Reliability Management: A Paradigm Shift","S. Raj","IJCESEN",2025,"https://scholar.google.com/scholar?q=Transition+to+Autonomous+Reliability+Management"
"LogPrompt: Prompt Engineering Towards Zero-Shot Interpretable Log Analysis","Y. Liu et al.","Huawei Research",2024,"https://arxiv.org/"
"OpenRCA: A Multi-modal Telemetry Benchmark for LLM-based RCA","L. Zhang et al.","Microsoft Research",2026,"https://www.microsoft.com/en-us/research/"
"When AIOps Become 'AI Oops': Subverting LLM-driven IT Operations via Telemetry Manipulation","D. Pasquini et al.","arXiv",2025,"https://arxiv.org/abs/2508.06394"
"LogSieve: Task-Aware CI Log Reduction for Sustainable LLM-Based Analysis","J. Ma et al.","arXiv",2026,"https://arxiv.org/abs/2601.20148"
"Hybrid AIOps for Resilient Data Pipelines: Integrating Statistical Analysis and Autonomous Agents","R. Somayajula","IEEE Global Conference",2025,"https://ieeexplore.ieee.org/"
"LLM-Augmented Knowledge Base Construction for Root Cause Analysis","N. P. Tran et al.","IEEE Access",2026,"https://ieeexplore.ieee.org/"
"United We Stand: Towards End-to-End Log-based Fault Diagnosis via Interactive Multi-Task Learning","P. Notaro et al.","IEEE/ACM ICSE",2025,"https://dl.acm.org/"
